country,sdi
afghanistan,low
albania,middle
algeria,middle
american samoa,high-middle
andorra,high
angola,low-middle
antigua and barbuda,high-middle
argentina,high-middle
armenia,high-middle
australia,high
austria,high
azerbaijan,high-middle
bahrain,high-middle
bangladesh,low
barbados,high-middle
belarus,high-middle
belgium,high
belize,low-middle
benin,low
bermuda,high-middle
bhutan,low-middle
bolivia,low-middle
bosnia and herzegovina,high-middle
botswana,middle
brazil,middle
brunei,high
bulgaria,high-middle
burkina faso,low
burundi,low
cambodia,low-middle
cameroon,low-middle
canada,high
cape verde,low-middle
central african republic,low
chad,low
chile,high-middle
china,high-middle
colombia,middle
comoros,low
congo,low-middle
costa rica,middle
côte d’ivoire,low
croatia,high
cuba,middle
cyprus,high
czech republic,high
democratic republic of the congo,low
denmark,high
djibouti,low-middle
dominica,middle
dominican republic,low-middle
ecuador,middle
egypt,low-middle
el salvador,low-middle
equatorial guinea,middle
eritrea,low
estonia,high
ethiopia,low
federated states of micronesia,low-middle
fiji,middle
finland,high
france,high
gabon,middle
georgia,high-middle
germany,high
ghana,low-middle
greece,high
greenland,high-middle
grenada,middle
guam,high-middle
guatemala,low-middle
guinea,low
guinea-bissau,low
guyana,low-middle
haiti,low
honduras,low-middle
hungary,high-middle
iceland,high
india,low-middle
indonesia,middle
iran,high-middle
iraq,low-middle
ireland,high
israel,high-middle
italy,high
jamaica,middle
japan,high
jordan,middle
kazakhstan,high-middle
kenya,low-middle
kiribati,low
kuwait,high-middle
kyrgyzstan,low-middle
laos,low-middle
latvia,high
lebanon,high-middle
lesotho,low-middle
liberia,low
libya,high-middle
lithuania,high
luxembourg,high
macedonia,high-middle
madagascar,low
malawi,low
malaysia,high-middle
maldives,middle
mali,low
malta,high
marshall islands,low-middle
mauritania,low-middle
mauritius,high-middle
mexico,middle
moldova,middle
mongolia,middle
montenegro,high-middle
morocco,low-middle
mozambique,low
myanmar,low-middle
namibia,middle
nepal,low
netherlands,high
new zealand,high
nicaragua,low-middle
niger,low
nigeria,low-middle
north korea,low-middle
northern mariana islands,high-middle
norway,high
oman,high-middle
pakistan,low-middle
palestine,low-middle
panama,middle
papua new guinea,low
paraguay,middle
peru,middle
philippines,middle
poland,high
portugal,high-middle
puerto rico,high-middle
qatar,high-middle
romania,high-middle
russia,high-middle
rwanda,low
saint lucia,middle
saint vincent and the grenadines,middle
samoa,low-middle
são tomé and príncipe,low-middle
saudi arabia,high-middle
senegal,low
serbia,high-middle
seychelles,middle
sierra leone,low
singapore,high
slovakia,high
slovenia,high
solomon islands,low
somalia,low
south africa,middle
south korea,high
south sudan,low
spain,high
sri lanka,middle
sudan,low-middle
suriname,middle
swaziland,low-middle
sweden,high
switzerland,high
syria,middle
taiwan (province of china),high
tajikistan,low-middle
tanzania,low
thailand,middle
the bahamas,high-middle
the gambia,low
timor-leste,low-middle
togo,low
tonga,middle
trinidad and tobago,middle
tunisia,middle
turkey,high-middle
turkmenistan,middle
uganda,low
ukraine,high-middle
united arab emirates,high-middle
united kingdom,high
united states,high
uruguay,high-middle
uzbekistan,middle
vanuatu,low-middle
venezuela,middle
vietnam,middle
"virgin islands, us",high-middle
yemen,low
zambia,low-middle
zimbabwe,low-middle
